ID	Cond	p.LT	p.GR	p.FOD
C0001	MG1655.MD018.none.na_WT	0.46278	0.33451	1.26344
C0002	MG1655.MD102.lactose-shift.na_WT	1.38833	0.16828	0.5785
C0004	MG1655.MD097.none.na_WT	22.61	0.01849	0.10267
C0005	BW25113.MD106.acetate-shift.na_WT	6.545	0.08288	0.68375
C0006	BW25113.MD106.none.na_WT	0.92556	0.19664	0.67325
C0008	MG1655.MD001.none.na_WT	3.83445	0.17458	0.67
C0009	W3110.MD018.none.na_WT	0.52889	0.24595	1.02831
C0010	MG1655.MD049.none.na_WT	2.84278	0.13456	0.69475
C0011	JA122.MD017.none.na_WT	0.99167	0.01576	0.06925
C0012	W3110.MD020.none.na_WT	1.65278	0.17742	0.716
C0013	MG1655.MD102.lactose-shift.b2741_KO	1.65278	0.13897	0.56925
C0014	MC1000.MD018.none.na_WT	1.12389	0.31032	1.09113
C0015	W3110.MD020.carbon-limitation.na_WT	12.03667	0.00311	0.02673
C0016	MG1655.MD038.none.na_WT	2.31389	0.09706	0.849
C0017	MG1655.MD004.none.na_WT	1.98333	0.25683	0.81425
C0018	MG1655.MD102.lactose-shift.b2784_KO	1.25611	0.14748	0.635
C0019	BW25113.MD018.none.na_WT	0.39666	0.38414	1.37888
C0020	NCM3722.MD026.none.na_WT	0.39666	0.37027	0.8735
C0021	MG1655.MD106.none.na_WT	0.39666	0.1333	0.693
C0022	MG1655.MD002.none.na_WT	4.49555	0.12195	1.161
C0023	MG1655.MD102.lactose-shift.b3357_KO	15.47	0.04475	0.3345
C0025	MG1655.MD010.none.na_WT	3.12926	0.31653	1.06289
C0026	MG1655.MD026.none.na_WT	0.92556	0.33056	0.923
C0027	MG1655.MD001.none.b0342_KO;b0344_KO;b0343_KO;b0145_KO	0.39666	0.19916	0.8735
C0028	DH5alpha.MD018.none.na_WT	0.46278	0.25076	1.04756
C0029	N3433.MD018.none.na_WT	0.39666	0.25163	1.08044
C0030	DH1.MD025.none.na_WT	4.165	0.22437	0.85275
C0031	MG1655.MD022.none.na_WT	1.3833	0.20798	1.19858
C0032	MG1655.MD010.oxidative.na_WT	0.1763	0.14566	0.90278
C0033	MG1655.MD018.none.b3261_OE	0.39666	0.33088	1.38538
C0034	DH1.MD025.butanol.na_WT	10.35741	0.04958	0.39511
C0036	W3110.MD028.none.na_WT	0.66111	0.35956	1.2505
C0037	DH5alpha.MD018.ethanol.na_WT	0.99167	0.23453	1.03075
C0038	MG1655.MD096.ethanol.na_WT	3.23944	0.14517	0.75583
C0039	MG1655.MD096.none.na_WT	3.70222	0.16775	0.85708
C0040	BW25113.MD001.none.na_WT	0.79333	0.1667	0.67625
C0041	MG1655.MD018.none.graL_OE	0.39666	0.33719	1.22213
C0042	MG1655.MD001.none.b2827_KO	0.39666	0.23572	0.8995
C0043	MG1655.MD108.none.na_WT	10.31333	0.07847	0.6585
C0044	AB1157.MD018.none.na_WT	0.39666	0.27605	1.20344
C0045	MG1655.MD075.none.na_WT	3.30556	0.18435	0.609
C0046	TOP10.MD018.none.na_WT	0.39666	0.22878	0.98875
C0047	MG1655.MD107.none.na_WT	27.965	0.0041	0.0435
C0048	D31.MD018.none.na_WT	0.39666	0.31552	1.19306
C0049	MG1655.MD117.O2-starvation.na_WT	0.9255	0.16681	0.79907
C0050	MG1655.MD018.O2-starvation.na_WT	0.3966	0.20042	0.48766
C0051	MG1655.MD001.O2-starvation.na_WT	2.07148	0.06996	0.34533
C0052	MG1655.MD038.O2-starvation.na_WT	3.21741	0.05168	0.47807
C0053	MG1655.MD103.O2-starvation.na_WT	3.57	0.15924	0.91073
